4/25/2015 8:28:42	591881506991132672	tweeteringuise	Evangelists begin prowling #NepalEarthquake https://t.co/RKVpXO9DpC	just another tweeter. tweets and rts may not confirm with your perception of morality.	94	1	1
4/25/2015 8:31:49	591882289702830081	rupasubramanya	That didn't take long. Missionary vultures always circling and descend at the first opportunity. #NepalEarthquake https://t.co/d8bN4vNHKy	economist. columnist @foreignpolicy previously @wsjindia @globeandmail columnist. co-author: indianomix: making sense of modern india (rhi 2012). tweets my own.	42070	1	1
4/25/2015 8:43:30	591885230719438848	Ankitaaa_	#NepalEarthquake is calamitous !! What is more devastating is the #Missionaries have already started circling over Nepal!!	gone are the days when women were lost in the fire... now they are made up of fire!!	12015	1	0
4/25/2015 9:02:25	591889992718266369	MayankThakur_	Devastating Earthquake In #Nepal &amp; #India and Christian Missionaries trying to bring Religion into it!! WTF??? #earthquake #NepalEarthquake	unofficial media agent !! i take bulls by horns...cuz its my show. ;) ⚕ #shivite⚡ _in luv with @stephleonidas _ fo mo ▶ just follow....☺	583	1	1
4/25/2015 9:06:45	591891081031061504	vjchats	@rupasubramanya Nepal is being punished for its heathen ways #TweetLikeMissionary #NepalEarthquake	risk analyst by profession. believe in less government for more freedom. animal lover, not a foodie/photographer.	341	1	1
4/25/2015 9:09:51	591891861989564416	vjchats	@KanchanGupta Nepal is being punished for its heathen ways #TweetLikeMissionary #NepalEarthquake @GlobalOutfittrs	risk analyst by profession. believe in less government for more freedom. animal lover, not a foodie/photographer.	341	1	1
4/25/2015 9:12:48	591892603907354624	RamraoKP_	Please don't believe media #Presstitutes spreading fear . Earthquakes CANNOT be predicted #NepalEarthquake	|  | hindu nationalist | | brahmin | |nationfirst | |ram ji bhakt | |member of @bjpindia | #hindusarehumantoo | |bharat mata ki jai| |vandemataram|	1544	1	1
4/25/2015 9:17:50	591893870935351298	vjchats	@laveypj Nepal is being punished for its heathen ways #TweetLikeMissionary #NepalEarthquake @CPIAAP	risk analyst by profession. believe in less government for more freedom. animal lover, not a foodie/photographer.	341	1	1
4/25/2015 9:17:58	591893906960199680	cheguwera	WTF people are trying to save their life&amp;this MORONs Tweeting Hindu christian muslim #earthquake #NepalEarthquake http://t.co/uGn5Jtgpqd	we are anonymous, we are legion, we do not forgive, we do not forget, expect us. bbmpin:2b53d3f3	198500	1	2
4/25/2015 9:21:11	591894713478684672	amtgpt2008	Absolutely, at #NepalEarthquake Christian missionary vultures aided by #Presstitutes vultures https://t.co/PGKj46F7v2		75	1	1
4/25/2015 9:21:43	591894849835532288	ravighiyar	They have motives behind helping needy. Holy missionaries!!! #NepalEarthquake https://t.co/xvyfQWJW7Q	production engineer | svnit alumni | interested in spirituality and politics | views personal.	7414	1	1
4/25/2015 9:53:57	591902962454175745	Kamaallrkhan	Bhaand @Gurmeetramrahim celebrating #NepalEarthquake, having fun threesome awesome. #shame #MSGHelpEarthquakeVictims http://t.co/HTrGyaRVcx	actor/producer/critic	117	1	0
4/25/2015 10:08:13	5.91907E+17	iBhaargav	RSS tries to help victims genuinely and some 'soul harvesters' want to help them in order to convert! Jai Ho! #earthquake #NepalEarthquake	law student | mns supporter | rss swayamsevak | baramati | pune |	280	1	0
4/25/2015 10:19:46	591909456625201152	InnovativeHindu	Shameless Missionaries #NepalEarthquake https://t.co/aUWHOQ6XCj	consultant....वसुधैव कुटुम्बकम....तत्त्वमसि....staunch believer of sanatana dharma....proud hindu..hindu nationalist...narendra modi is my pm	1280	1	1
4/25/2015 10:27:35	591911426396069888	desi_brat	Fuck these Missionaries who are scavenging frm whatever's left after the #NepalEarthquake Hav some shame &amp; humanity.	chocoholic || animal lover || wanderluster || foodie || vande mataram	717	1	1
4/25/2015 10:31:43	591912465128034304	B1DON	@ndtv  The beliefs of Idols, heretic .. have led to wrath from the 'Almighty' #NepalEarthquake #India. Come to Islam now to be safe eva ..	world leader! i do not know, people around the world follow me! even aliens go admire. 7+ billion followers in waiting in the queue. enormously thanks you!	59	1	1
4/25/2015 10:37:32	591913930521350145	B1DON	@SkyNews @Reuters "Almighty: Man is the most quarrel some." - Please come to Islam before it is too late #NepalEarthquake #India | @ndtv	world leader! i do not know, people around the world follow me! even aliens go admire. 7+ billion followers in waiting in the queue. enormously thanks you!	59	1	1
4/25/2015 10:40:15	591914610845822976	B1DON	@SkyNews  come to Islam, and ask for forgiveness before it is too late #NepalEarthquake #India ... Let's say no to Idols, Heretic beliefs	world leader! i do not know, people around the world follow me! even aliens go admire. 7+ billion followers in waiting in the queue. enormously thanks you!	59	1	1
4/25/2015 10:59:15	591919395556827138	Indian_Male_	Tomorrow's Political issue on #NepalEarthquake in India : Less relief sent How many Hindu died Blaming Mr. Modi Another AAP chutiyapa	indiyan	95	1	0
4/25/2015 11:27:29	591926499835412480	human995522	it needs very heavy donations by Hindu groups else Christian, Muslim vultures would prey on poor Hindus for conversion #NepalEarthquake	|attitude matters| bully| arrogant| strong opinionated|double standard hater| point blank range tweeter| lets see |proud pagan|nefarious da infidel	15	1	1
4/25/2015 11:41:22	591929991379562496	elkay14	#NepalEarthquake #IndianArmy &amp; #RSS moving rescue teams 2 #Nepal #Sickulars RATS r hiding #Presstitutes waiting 2 hit #NaMo"	financial advisor, a die hard fan of dev anand, akshaykumar , indian primeminister modi and ronald reagan, donald trump d next president of america	2450	1	0
4/25/2015 11:41:35	591930045905547264	myfrankvoice	#KillerKejriwal is happy that dogs and #Presstitutes now have a new bone of #NepalEarthquake to focus on		146	1	0
4/25/2015 11:45:19	591930987010895873	RajeshaM75	Scavenging Vultures started their asshole job even on #NepalEarthquake tragedy https://t.co/2zBWwNtltG	engineer, driver by choice, interests - automotive, electronics, current affairs, stocksm, politics & economy! don't let personal loyalty overtake reasoning!	558	1	0
4/25/2015 11:46:00	591931160105725952	human995522	#earthquake Rahul Gandi w allowed 2 Kedarnath Shiva punished Hindus w/ Earthquake,Hang Rahul Gandi, FIR on congress :-) #NepalEarthquake	|attitude matters| bully| arrogant| strong opinionated|double standard hater| point blank range tweeter| lets see |proud pagan|nefarious da infidel	15	1	1
4/25/2015 12:08:13	591936750408237056	guylancour	Such brokenness in this world. How long O Lord God, how long? How long before You make all things right? #NepalEarthquake	christ-follower, husband to kellie, father & grandfather, pastor @ first baptist mooresville	170	1	0
4/25/2015 12:21:17	591940038461521920	Aawara_Panchi	@RSSorg sent swayamsewaks to #Nepal to help people and provide food, medical treatment. #NepalEarthquake #NepalQuake #Presstitutes ??	indian | blogger | book devourer | traveler | cyber safety & social media consultant || handling social compliance & csr for emea (europe, middle east & africa)	712	1	0
4/25/2015 12:21:33	591940106652557312	BhattNaturally1	Here is Link https://t.co/ut9xo8Rd0I if U wish to donate to PM fund. BUT please don't do it to NGOs &amp; #Presstitutes #NepalEarthquake	just coz u don't take interest in politics doesn't mean politics wil not take an interest in u ~ a pic is worth 1k words ~patriotic rw~world affairs~#memes	1880	1	1
4/25/2015 12:24:57	591940959014752256	MysoreTweeter	Dangerous christian missionaries already on the prowl for soul harvesting! http://t.co/BgL842oByE #NepalEarthquake	secular certified sanghi, anti-left, chamundi betta specialist!	78	1	1
4/25/2015 12:37:49	591944201098625024	AbuTajiki	#Nepal #nepalearthquake Stop worshipping idols and statues....come to ISLAM. Idols can't save you from the wrath and punishment of ALLAH	i am peace activist based on al walaa wal baraa.	30	1	1
4/25/2015 12:48:56	591946997449363459	Risenawake	Nature strikes again, woke up to the news of #NepalEarthquake Thoughts, prayers are w those affected, sad to see religions dragged into this	just me!	3	1	2
4/25/2015 12:53:18	591948094146748416	ramulu	@mediacrooks #NepalEarthquake please donate only through @PMOIndia and not through #Presstitutes controlled #NGOs. Please educate all		79	1	0
4/25/2015 13:00:40	591949948570050560	swarajkumar224	See how missionaries are trying to promote in #NepalEarthquake #Shame https://t.co/0c1f1iIw6k	finance student, fx, options, bond trader, quant finance, football	146	1	2
4/25/2015 13:14:50	591953512633884672	OmegaProgramme	Jesus gave 6 signs in Matt 24: wars; ethnic conflict; earthquakes; pestilence; famine; cults. No birth pains - no baby. #NepalEarthquake	11 bible-based half-day modules training christians for the challenge of end-time living. it's time to get ready for what's coming. john 16.33.	56	1	0
4/25/2015 13:16:55	591954037961928704	NK_Hashboii	Prayers for those in #NepalEarthquake "O mankind!Fear your Lord n be dutiful to Him!	globel citizen	333	1	0
4/25/2015 13:21:56	591955300028055552	awanishr	Mofo Missionaries...Shoot at sight these f**kers #NepalEarthquake https://t.co/fcRHPMMFUe	#history #theology #finance #economics #startups	408	1	1
4/25/2015 13:23:41	591955742204145664	nayanikaaa	What is wrong with people? Using the #NepalEarthquake to convert the victims? #Soulvultures.	is this the real life, is this just fantasy?	1507	1	0
4/25/2015 13:25:16	5.91956E+17	sanatan_	Shame on Christian missionaries who find the #NepalEarthquake "exciting" to convert people in moment of grief. https://t.co/hj6iTdFGvx	tweet on subject of hindu dharma and india's national interest.i blog on sanatan dharma , as and when time permits.dp is  from indus valley civilization.	853	1	1
4/25/2015 13:27:38	591956737759940608	vhampiholi	Do not donate to #Presstitutes for #NepalEarthquake Please support #PMRF. #Presstitutes will use it for anti national activities.	sports lover. #cfc and #patriots fan. rts != endorsement. tweets mainly about sports, humor and politics.	312	1	2
4/25/2015 13:33:21	591958175215067136	AlbertPintu	Where are our #Presstitutes &amp; #AdarshLiberal ? Hope they stand with #NepalEarthquake	@rahulroushan fan, want him to be media advisor of pm..	46	1	0
4/25/2015 13:33:42	591958260728471552	Sudhks	If it's true then #Xtian religious vultures are the worst kind of worms..... #NepalEarthquake #IndiaWithNepal https://t.co/HD1KI8fjwu	|india is my pride, passion & pleasure |hindu nationalist |namo enthusiast |time & deep space travel (desire) |social media slave |sci-fi fan |delhi, india|	2360	1	1
4/25/2015 13:44:59	591961102638063616	AnjaliGorg	Soul hunters goi g for a gleeful scavenging in #NepalEarthQuake #ChristianTerror https://t.co/grYJDszFrD	★ the only thing that makes life possible is permanent, intolerable uncertainty; not knowing what comes next ★ ★rts, favs & quotes don't mean endorsement ;) ★	3705	1	1
4/25/2015 13:45:02	591961113400446976	shraddhey_OM	RSS is on the way to nepal. Dear #Presstitutes please dhakkan me. Pani leke dub jao... Jai Indian Army jai RSS #NepalEarthquake	राष्ट्र भक्त.... भारत माता की जय.. make in india... gpl to #presstitutes....	63	1	1
4/25/2015 13:46:25	591961462073008128	activator_n	Do not donate to #Presstitutes for #NepalEarthquake Please support #PMRF. #Presstitutes will use it for anti national activities.	hardcore nationalist no nonsese  sharpshooter  straight talk  ex_army commandono dm n troll	4954	1	0
4/25/2015 13:55:42	591963799936053248	bayalis	Apalled at missionary #SoulVultures gloating at #NepalEarthquake as opportunity. Nepal shud enforce routing of all aid through govt agencies	hitchhiker, ultimate answer to everything desi. iitr, iimb. bad for everything.	62	1	1
4/25/2015 14:05:29	591966262424522752	Ibleed_sarcasm	Friends if u want to donate for #NepalEarthquake give it to #PMReliefFund don't waste ur money to any NGO or #Presstitutes media house	gyan is temporary bakchodi is permanent	91	1	0
4/25/2015 14:08:42	591967069890949120	krishneygroup	#NepalEarthquake #IndianArmy &amp; #RSS moving rescue teams 2 #Nepal #AdarshLiberals #Sickulars RATS r hiding #Presstitutes waiting 2 hit #NaMo	banking finance,sme, mcg, project consultancy, i proud to be hindu nationalist and fen of @narendramodi	341	1	0
4/25/2015 14:21:59	591970412914847744	HinduRajyam	@Atheist_Krishna @Amanofreason_ Shameless christian evangelist motherfucker @atheist_convert shud be lynched at sight! #NepalEarthquake	om namo venkateshaya namaha.establishing hindu rashtra shud be the immediate goal of every hindu! follow @noconversion	11960	1	1
4/25/2015 14:25:39	591971337566027776	kristenhinkson	http://t.co/OyNdrhVGNh via @youtube RADIO HEAD Idioteque PLANET X WARNING Earthquakes POLESHIFT Jesus Returns Soon #nepalearthquake #pray	god loved the world so much that he gave his only son. whoever believes in him shall be saved. john 3:16	561	1	0
