0	625509021097684992	_prejudiced	keep defending terrorists, keep signing mercy petitions for dem &amp; dey'll keep showing their love like dis! #Shame #GurdaspurAttack	inside all of us is a wild thing.	300	1	1
7/27/2015 4:23:54	625521973859237888	2Bad2BeFalse	#GurdaspurAttack d #presstitutes shd go n check if d terrorists R innocent or nt or thy wll waste time in deciding dis in media rooms		23	1	2
7/27/2015 4:29:13	625523312228040704	Vishal_01	Seems LeT Paki handlers are getting desperate. BSF and Int agencies in all border areas need to up the ante. #GurdaspurAttack	infantry soldier, avid traveller & nomad, voracious reader, compulsive net-addict, running is my meditation, #india1st #jaihind	653	1	2
7/27/2015 4:38:14	625525580956463105	UmeshMisra	#GurdaspurAttack where are the so called pacifists, secularists and activists of all ilk. India has been let down by its blind secularists	writer. rts do not mean endorsements.	78	1	1
7/27/2015 4:45:35	625527428115369985	farahnezam	Pretty soon the names of the terrorists will be released and it'll probably be some overused Muslim names, Shakil? Mustafa? #GurdaspurAttack	bibliophile. pr professional. journalism junkie. lover of all things vintage.	504	1	1
7/27/2015 4:51:48	625528993471578112	Nisha_Hindu	Islam has nothing to do with #GurdaspurAttack ! Don't kill any Muslim terrorists. They are peaceful people.  @Swamy39 @BeingSalmanKhan	★ viraat hindu girl ∫ sanatan yodha bhavani ∫ proud kaffir ∫ friendly ∫ addictive ∫ abusive ∫ don't mess ∫ half d***'s stay away ∫ jai bharat ∫ #hdl ★	27103	1	2
7/27/2015 4:56:39	625530213661736961	Nisha_Hindu	Islam has nothing to do with #GurdaspurAttack ! Don't kill any Muslim terrorists. They are innocent.  @Swamy39 @BeingSalmanKhan	★ viraat hindu girl ∫ sanatan yodha bhavani ∫ proud kaffir ∫ friendly ∫ addictive ∫ abusive ∫ don't mess ∫ half d***'s stay away ∫ jai bharat ∫ #hdl ★	27103	1	2
7/27/2015 5:01:34	625531452222935040	zplusbaba	He will go 2 Pakistan 2 sign MOU 4 supply of trained pakis. This will help them repeat #Akshardham #GurdaspurAttack #boatTerror #Kandhar	that famous baba. i don't pay tax. i love black money. saheb(modiji) gave me zplus security & huge forest for supporting his stupid election promises #zplusbaba	56	1	1
7/27/2015 5:05:21	625532404392800256	k4kalp	One more cowardly act of terrorists. Hope our forces take control. And #presstitutes keep silence till operation is over. #GurdaspurAttack	better late than never.....	123	1	0
7/27/2015 5:31:01	625538864086560770	k4kalp	Such a sick state of indian media, showing armymen carryin rkt lanchrs nd sayin these r live images. #aajtak #presstitutes #GurdaspurAttack	better late than never.....	123	1	0
7/27/2015 5:38:32	625540753381441536	anshulbhartiya	If #GurdaspurAttack terrorists are caught alive, we'll have many #AdarshLiberals fighting for their rights and sign #MercyPetition	be who you are and say what you feel, because those who mind don't matter, and those who matter don't mind	2223	1	0
7/27/2015 5:55:05	625544918396612610	krpvarun1	Mr. Modi for what more u wait how many more sacrifices, let us #NukePakistan disgusting Islamic Neanderthals #GurdaspurAttack	my tweets and blogs are part of my hallucinations and has nothing to do with reality. interpretation depends on discretion of readers.	7	1	1
7/27/2015 5:57:12	625545452591513604	SubhasMewar	@TimesNow Thanx all secular signatories 4 supporting save#YakubMemo. Accept return gift from us. #GurdaspurAttack	most of the time, i co-own a distributorship firm... and for the rest of it, i'm a ghazal & travel enthusiast	20	1	0
7/27/2015 6:05:04	625547433410342912	Vikramj42998033	#GurdaspurAttack what this foolish politician want to point out by saying Sikh Terrorists...		1	1	0
7/27/2015 6:10:50	625548884832456704	rockin_viren	Nw #Salmankhan will ask for a plea for d #Terrorists which attacked 2day in #Punjab.. #Shame.. #GurdaspurAttack.. #BloodyPak will nvr imprv.		0	1	1
7/27/2015 6:13:09	6.25549E+17	purobi1	@arunjaitley think no Indo-Pak friendly relations possible when extremists have an upper hand #GurdaspurAttack	mba; llb; into communication solutions and csr consultancy. work with ngos. company twitter: ideasincmumbai	124	1	1
7/27/2015 6:23:14	625552002878025728	HappyAppy83	Indian Army- Pl show mercy on #GurdaspurAttack terrorists, they r innocent people...talking like #AdarshLiberals &amp; 40 pigs #MercyPetition	all god does is watch us and kill us when we get boring. we must never, ever be boring. avid bjp & modi supporter...	610	1	1
7/27/2015 6:28:03	625553216793513984	blunt_comment	Now How do v deciphe ds #GurdaspurAttack ? Will sympathy to #YakubMemon likes will prevent such happenings? Whats guarantee #AdarshLiberals?	india reinvented its democracy in 2014. spent exploring it in 2015. lets use it in 2016 for collective better. hny2016	359	1	0
7/27/2015 6:37:06	625555491318448128	krpvarun1	This is the time to show 56 inch chest Mr.modi #NukePakistan tht disgusting Muslims nuke them finish them #GurdaspurAttack #Gurdaspur	my tweets and blogs are part of my hallucinations and has nothing to do with reality. interpretation depends on discretion of readers.	7	1	1
7/27/2015 6:44:57	625557469293637632	DynastyCrooks	Paki Pigs will never ever ever trend  #PakistanWithIndia  We Stupid Indians will never understand .. #GurdaspurAttack	be happy  be healthy  be honest...tweets are mine but satirical & false.. don't believe in them .rts ain't endorsements . i hunt hypocrites !!	3505	1	1
7/27/2015 6:48:02	625558242874101760	kush07	#GurdaspurAttack reminds us of the prep which was done by #Jihadis during 26/11 Mumbai attack. https://t.co/SZz8o5cSRh	opinions do matter. what is told to you is almost never the truth. use those grey cells to figure out the truth.	2763	1	1
7/27/2015 6:51:17	625559062088970240	DebashishHiTs	Russia arrests 30 Muslims for #ISIS recruitment drive. #Lesson4India @pragnik @HinduRajyam @sgjial #GurdaspurAttack https://t.co/BiWg9yjHJG	views r mine, re-tweets r not. nothing to do with profession. laughter is the best medicine, tears r best soul-cleanser, music best purifier.	1620	1	1
7/27/2015 6:51:57	625559229026336768	DhanushKool	Has any #AdarshLiberal spewd crap abt "human rights" of terrorists or "disproportionate use of force" by security agencies? #GurdaspurAttack	#intolerant unapologetic hindu nationalist... it engg. | tweets while on bench | statutory warning: injurious to mental health, follow me at your own risk.	2638	1	1
7/27/2015 6:53:48	625559696254959616	BeddounIssm	@ndtv #Referendum2020 #LiberateKhalistan #ModiAttacksGurdaspur #SikhGenocide #GurdaspurAttack Stop taking revenge from Sikhs &amp; Pakistan.	tweeping and trolling !	322	1	1
7/27/2015 6:56:41	625560420376391681	BeddounIssm	#Referendum2020 #LiberateKhalistan #ModiAttacksGurdaspur #SikhGenocide #GurdaspurAttack Sikh genocide begins ! ! https://t.co/ZNCDh2aQo8	tweeping and trolling !	322	1	1
7/27/2015 6:57:08	625560533761011713	BeddounIssm	#Referendum2020 #LiberateKhalistan #ModiAttacksGurdaspur #SikhGenocide #GurdaspurAttack Sikh genocide begins now . https://t.co/sWB9Wv7GHr	tweeping and trolling !	322	1	1
7/27/2015 6:57:28	625560619178070020	BeddounIssm	@indiatvnews #Referendum2020 #LiberateKhalistan #ModiAttacksGurdaspur #SikhGenocide #GurdaspurAttack Sikh genocide begins ! !	tweeping and trolling !	322	1	1
7/27/2015 6:57:37	625560654817038336	BeddounIssm	@mediacrooks #Referendum2020 #LiberateKhalistan #ModiAttacksGurdaspur #SikhGenocide #GurdaspurAttack Sikh genocide begins ! !	tweeping and trolling !	322	1	1
7/27/2015 6:57:57	625560739088969728	BeddounIssm	#Referendum2020 #LiberateKhalistan #ModiAttacksGurdaspur #SikhGenocide #GurdaspurAttack Sikh genocide begins ! ! https://t.co/PF6Vu7zBRo	tweeping and trolling !	322	1	1
7/27/2015 6:59:04	625561020484812800	sujay_chaudhari	Another coward attack on Civilians. Your sins definitely been counted somewhere. #Gurdaspurattack #PakistanArmy #Pakistan #SHAME		41	1	0
7/27/2015 7:00:42	625561430629048321	AngryKangri	#GurdaspurAttack In attack linked to radical Sikhs #indianMedia playing it well to not name them but say "Pak terrorist" Convenient for all?	journalist | filmmaker | lakum deenukum waliyadeen | by any means necessary | working on a film about #kashmirfloods @sailabnama	732	1	1
7/27/2015 7:03:12	625562062328954880	neha_love_	#ModiAttacksGurdaspur trend in Pakistan shows the face of paki youth; they are supporting for #Khalistan #GurdaspurAttack #Gurdaspur	my bio is under process : )	1703	1	1
7/27/2015 7:05:33	625562652836671488	BihariTweeter	I can already see a sympathy wave in #AdarshLiberals for the Terrorists in #GurdaspurAttack	24 | save biharis...only few left(in bihar)	6805	1	2
7/27/2015 7:13:10	625564568941539328	Jaatland	Calling #AdarshLiberals to sign clemency petition to save #GurdaspurAttack Culprits from Gallows. Personal mail sent to Katju, Yechuri etc	“never argue with stupid people, they will drag you down to their level and then beat you with experience.” ― mark twain	63	1	0
7/27/2015 7:14:33	625564918364815360	nakhrebaz_jatti	Wow our Punjab CM said terrorism is national problem not state problem #GurdaspurAttack #shame	#engineer #genconian #love2dopainting #rainlover #loves&care4animals #babbumannfan #followback soo much fake twtr acntz... if not folwing any real acnt ...twt	4051	1	1
7/27/2015 7:15:50	625565239908651008	rehmananwer	#GurdaspurAttack is condemnable but blaming #Pakistan is insanity. #India shouldn't forget dozens of separatists movements in its soil	an interfaith and peace activist currently working for an international ngo in london. views expressed here are purely personal. rts aren't endorcements.	1941	1	1
7/27/2015 7:18:49	625565992014319616	Nisha_Hindu	Islam has nothing to do with #GurdaspurAttack ! Don't kill any Muslim terrorist. They are innocent.  @Swamy39 @BeingSalmanKhan	★ viraat hindu girl ∫ sanatan yodha bhavani ∫ proud kaffir ∫ friendly ∫ addictive ∫ abusive ∫ don't mess ∫ half d***'s stay away ∫ jai bharat ∫ #hdl ★	27103	1	2
7/27/2015 7:24:38	625567455482482689	khiladi_DeEp1	So this asshole dispatched to hell by our forces... Look him he is from religion of peace #Gurdaspur #GurdaspurAttack http://t.co/e2lqxgkjxh	bio-???? ...mere paas to commerce thi yaar	964	1	2
7/27/2015 7:25:49	625567754079174656	Skgadiwale26	Pakistan N paki supporter deserves special place in hell... #Gurdaspur #GurdaspurAttack	m well aware dat m rare... gal... 7teen... indian... insane.. vk.. gg.. kk are life... love to be loved... dreamer.. believer.. :)	349	1	1
